CityId,CityName,CountryId,Country,RegionId,Region,ContentId,ContenentId,Contenent,FullId
178,Queenstown,22,South Africa,4,Southern Africa,1,1,Africa,1422178.0
179,Randburg,22,South Africa,4,Southern Africa,1,1,Africa,1422179.0
180,Randpark Ridge,22,South Africa,4,Southern Africa,1,1,Africa,1422180.0
181,Richards Bay,22,South Africa,4,Southern Africa,1,1,Africa,1422181.0
182,Riebeek-West,22,South Africa,4,Southern Africa,1,1,Africa,1422182.0
183,Rondebosch,22,South Africa,4,Southern Africa,1,1,Africa,1422183.0
184,Roodepoort,22,South Africa,4,Southern Africa,1,1,Africa,1422184.0
185,rosebank,22,South Africa,4,Southern Africa,1,1,Africa,1422185.0
186,Rumbek,22,South Africa,4,Southern Africa,1,1,Africa,1422186.0
187,Salt Rock,22,South Africa,4,Southern Africa,1,1,Africa,1422187.0
188,Sandton,22,South Africa,4,Southern Africa,1,1,Africa,1422188.0
189,Sedgefield,22,South Africa,4,Southern Africa,1,1,Africa,1422189.0
190,Somerset West,22,South Africa,4,Southern Africa,1,1,Africa,1422190.0
191,South Africa,22,South Africa,4,Southern Africa,1,1,Africa,1422191.0
192,Springs,22,South Africa,4,Southern Africa,1,1,Africa,1422192.0
193,Standerton,22,South Africa,4,Southern Africa,1,1,Africa,1422193.0
194,Stanger,22,South Africa,4,Southern Africa,1,1,Africa,1422194.0
195,Stellenbosch,22,South Africa,4,Southern Africa,1,1,Africa,1422195.0
196,Stilbaai,22,South Africa,4,Southern Africa,1,1,Africa,1422196.0
197,Strand,22,South Africa,4,Southern Africa,1,1,Africa,1422197.0
198,Sun Valley,22,South Africa,4,Southern Africa,1,1,Africa,1422198.0
199,Table View,22,South Africa,4,Southern Africa,1,1,Africa,1422199.0
200,Tongaat,22,South Africa,4,Southern Africa,1,1,Africa,1422200.0
201,Tzaneen,22,South Africa,4,Southern Africa,1,1,Africa,1422201.0
202,Umdloti,22,South Africa,4,Southern Africa,1,1,Africa,1422202.0
203,Umhlanga,22,South Africa,4,Southern Africa,1,1,Africa,1422203.0
204,Underberg,22,South Africa,4,Southern Africa,1,1,Africa,1422204.0
205,Vanderbijlpark,22,South Africa,4,Southern Africa,1,1,Africa,1422205.0
206,Vereeniging,22,South Africa,4,Southern Africa,1,1,Africa,1422206.0
207,Welkom,22,South Africa,4,Southern Africa,1,1,Africa,1422207.0
208,westbrook,22,South Africa,4,Southern Africa,1,1,Africa,1422208.0
209,Western Cape,22,South Africa,4,Southern Africa,1,1,Africa,1422209.0
210,Westville,22,South Africa,4,Southern Africa,1,1,Africa,1422210.0
211,White River,22,South Africa,4,Southern Africa,1,1,Africa,1422211.0
212,Winston Park,22,South Africa,4,Southern Africa,1,1,Africa,1422212.0
213,Ouagadougou,23,Burkina Faso,5,West Africa,1,1,Africa,1523213.0
214,Santa Maria,24,Cape Verde,5,West Africa,1,1,Africa,1524214.0
215,Abidjan,25,Côte d'Ivoire,5,West Africa,1,1,Africa,1525215.0
216,Accra,26,Ghana,5,West Africa,1,1,Africa,1526216.0
217,Kumasi,26,Ghana,5,West Africa,1,1,Africa,1526217.0
218,Abuja,27,NIGERIA,5,West Africa,1,1,Africa,1527218.0
219,Ilorin,27,NIGERIA,5,West Africa,1,1,Africa,1527219.0
220,Lagos,27,NIGERIA,5,West Africa,1,1,Africa,1527220.0
221,NIGERIA,27,NIGERIA,5,West Africa,1,1,Africa,1527221.0
222,Port Harcourt,27,NIGERIA,5,West Africa,1,1,Africa,1527222.0
223,Dakar,28,Senegal,5,West Africa,1,1,Africa,1528223.0
224,Saly,28,Senegal,5,West Africa,1,1,Africa,1528224.0
225,Antigua and Barbuda,29,Antigua and Barbuda,6,Caribbean,2,2,America,2629225.0
226,Nassau,30,Bahamas,6,Caribbean,2,2,America,2630226.0
227,New Providence Island,30,Bahamas,6,Caribbean,2,2,America,2630227.0
228,Bridgetown,31,Barbados,6,Caribbean,2,2,America,2631228.0
229,Saint Philip Parish,31,Barbados,6,Caribbean,2,2,America,2631229.0
230,Cayman Island,32,Cayman Island,6,Caribbean,2,2,America,2632230.0
231,Havana,33,Cuba,6,Caribbean,2,2,America,2633231.0
232,CuraÃ§ao,34,Curacao,6,Caribbean,2,2,America,2634232.0
233,Curacao,34,Curacao,6,Caribbean,2,2,America,2634233.0
234,Willemstad,34,Curacao,6,Caribbean,2,2,America,2634234.0
235,Dominican Republic,35,Dominican Republic,6,Caribbean,2,2,America,2635235.0
236,Punta Cana,35,Dominican Republic,6,Caribbean,2,2,America,2635236.0
237,Santo Domingo,35,Dominican Republic,6,Caribbean,2,2,America,2635237.0
238,George Town,36,Grand Cayman,6,Caribbean,2,2,America,2636238.0
239,Grand Cayman,36,Grand Cayman,6,Caribbean,2,2,America,2636239.0
240,Seven Mile Beach,36,Grand Cayman,6,Caribbean,2,2,America,2636240.0
241,Bluefields,37,Jamaica,6,Caribbean,2,2,America,2637241.0
242,Kingston,37,Jamaica,6,Caribbean,2,2,America,2637242.0
243,Carolina,38,Puerto Rico,6,Caribbean,2,2,America,2638243.0
244,Puerto Rico,38,Puerto Rico,6,Caribbean,2,2,America,2638244.0
245,Rio Grande,38,Puerto Rico,6,Caribbean,2,2,America,2638245.0
246,San Juan,38,Puerto Rico,6,Caribbean,2,2,America,2638246.0
247,Maho,39,St Martin / St Maarten,6,Caribbean,2,2,America,2639247.0
248,Philipsburg,39,St Martin / St Maarten,6,Caribbean,2,2,America,2639248.0
249,Simpson Bay,39,St Martin / St Maarten,6,Caribbean,2,2,America,2639249.0
250,St Martin / St Maarten,39,St Martin / St Maarten,6,Caribbean,2,2,America,2639250.0
251,Diego Martin,40,Trinidad and Tobago,6,Caribbean,2,2,America,2640251.0
252,Port of Spain,40,Trinidad and Tobago,6,Caribbean,2,2,America,2640252.0
253,Trinidad,40,Trinidad and Tobago,6,Caribbean,2,2,America,2640253.0
254,TRINIDAD AND TOBAGO,40,Trinidad and Tobago,6,Caribbean,2,2,America,2640254.0
255,Providenciales,41,Turks and Caicos Islands,6,Caribbean,2,2,America,2641255.0
256,The Bight Settlement,41,Turks and Caicos Islands,6,Caribbean,2,2,America,2641256.0
257,belize,42,Belize,7,Central America,2,2,America,2742257.0
258,Caye Caulker,42,Belize,7,Central America,2,2,America,2742258.0
259,Corozal Town,42,Belize,7,Central America,2,2,America,2742259.0
260,San Ignacio,42,Belize,7,Central America,2,2,America,2742260.0
261,Arenal Volcano National Park,43,Costa Rica,7,Central America,2,2,America,2743261.0
262,Atenas,43,Costa Rica,7,Central America,2,2,America,2743262.0
263,Barva,43,Costa Rica,7,Central America,2,2,America,2743263.0
264,Carmen,43,Costa Rica,7,Central America,2,2,America,2743264.0
265,Gulf of Papagayo,43,Costa Rica,7,Central America,2,2,America,2743265.0
266,Heredia,43,Costa Rica,7,Central America,2,2,America,2743266.0
267,Jaco,43,Costa Rica,7,Central America,2,2,America,2743267.0
268,Liberia,43,Costa Rica,7,Central America,2,2,America,2743268.0
269,Manuel Antonio,43,Costa Rica,7,Central America,2,2,America,2743269.0
270,Marbella,43,Costa Rica,7,Central America,2,2,America,2743270.0
271,Montezuma,43,Costa Rica,7,Central America,2,2,America,2743271.0
272,Nosara,43,Costa Rica,7,Central America,2,2,America,2743272.0
273,Platanillo,43,Costa Rica,7,Central America,2,2,America,2743273.0
274,Playa Flamingo,43,Costa Rica,7,Central America,2,2,America,2743274.0
275,Playa Grande,43,Costa Rica,7,Central America,2,2,America,2743275.0
276,Playa Hermosa,43,Costa Rica,7,Central America,2,2,America,2743276.0
277,Playa Samara,43,Costa Rica,7,Central America,2,2,America,2743277.0
278,Quepos,43,Costa Rica,7,Central America,2,2,America,2743278.0
279,San Jose,43,Costa Rica,7,Central America,2,2,America,2743279.0
280,Santa Ana,43,Costa Rica,7,Central America,2,2,America,2743280.0
281,Santa Elena,43,Costa Rica,7,Central America,2,2,America,2743281.0
282,Santa Teresa,43,Costa Rica,7,Central America,2,2,America,2743282.0
283,Tamarindo,43,Costa Rica,7,Central America,2,2,America,2743283.0
284,Uvita,43,Costa Rica,7,Central America,2,2,America,2743284.0
285,Antigua,44,Guatemala,7,Central America,2,2,America,2744285.0
286,El Remate,44,Guatemala,7,Central America,2,2,America,2744286.0
287,Guatemala,44,Guatemala,7,Central America,2,2,America,2744287.0
288,Guatemala City,44,Guatemala,7,Central America,2,2,America,2744288.0
289,San Pedro La Laguna,44,Guatemala,7,Central America,2,2,America,2744289.0
290,goprohonduras,45,Honduras,7,Central America,2,2,America,2745290.0
291,Roatan,45,Honduras,7,Central America,2,2,America,2745291.0
292,Granada,46,Nicaragua,7,Central America,2,2,America,2746292.0
293,Leon,46,Nicaragua,7,Central America,2,2,America,2746293.0
294,Rivas,46,Nicaragua,7,Central America,2,2,America,2746294.0
295,San Juan del Sur,46,Nicaragua,7,Central America,2,2,America,2746295.0
296,Boquete,47,Panama,7,Central America,2,2,America,2747296.0
297,Colon,47,Panama,7,Central America,2,2,America,2747297.0
298,Panama,47,Panama,7,Central America,2,2,America,2747298.0
299,Panama City,47,Panama,7,Central America,2,2,America,2747299.0
300,Penonome,47,Panama,7,Central America,2,2,America,2747300.0
301,abbotaford,48,Canada,8,Northern America,2,2,America,2848301.0
302,Abbotsford,48,Canada,8,Northern America,2,2,America,2848302.0
303,Abercorn,48,Canada,8,Northern America,2,2,America,2848303.0
304,Airdrie,48,Canada,8,Northern America,2,2,America,2848304.0
305,Ajax,48,Canada,8,Northern America,2,2,America,2848305.0
306,Alberta,48,Canada,8,Northern America,2,2,America,2848306.0
307,Aldergrove,48,Canada,8,Northern America,2,2,America,2848307.0
308,Alliston,48,Canada,8,Northern America,2,2,America,2848308.0
309,Ancaster,48,Canada,8,Northern America,2,2,America,2848309.0
310,Antigonish,48,Canada,8,Northern America,2,2,America,2848310.0
311,Banff,48,Canada,8,Northern America,2,2,America,2848311.0
312,Barrhead,48,Canada,8,Northern America,2,2,America,2848312.0
313,Barrie,48,Canada,8,Northern America,2,2,America,2848313.0
314,Bathurst,48,Canada,8,Northern America,2,2,America,2848314.0
315,BC,48,Canada,8,Northern America,2,2,America,2848315.0
316,Bedford,48,Canada,8,Northern America,2,2,America,2848316.0
317,Beeton,48,Canada,8,Northern America,2,2,America,2848317.0
318,Belleville,48,Canada,8,Northern America,2,2,America,2848318.0
319,Berri,48,Canada,8,Northern America,2,2,America,2848319.0
320,Blainville,48,Canada,8,Northern America,2,2,America,2848320.0
321,Blind Bay,48,Canada,8,Northern America,2,2,America,2848321.0
322,Blue Mountains,48,Canada,8,Northern America,2,2,America,2848322.0
323,Bobcaygeon,48,Canada,8,Northern America,2,2,America,2848323.0
324,Bowen Island,48,Canada,8,Northern America,2,2,America,2848324.0
325,Brampton,48,Canada,8,Northern America,2,2,America,2848325.0
326,Brandon,48,Canada,8,Northern America,2,2,America,2848326.0
327,Brantford,48,Canada,8,Northern America,2,2,America,2848327.0
328,British Columbia,48,Canada,8,Northern America,2,2,America,2848328.0
329,Bromont,48,Canada,8,Northern America,2,2,America,2848329.0
330,Brossard,48,Canada,8,Northern America,2,2,America,2848330.0
331,Burlington,48,Canada,8,Northern America,2,2,America,2848331.0
332,Burnaby,48,Canada,8,Northern America,2,2,America,2848332.0
