UserId,ContenentId_x,RegionId_x,CountryId_x,CityId_x,FullId,CityId_y,CityName,CountryId_y,Country,RegionId_y,Region,ContentId,ContenentId_y,Contenent
456,4,15,109,4819.0,4151094819.0,4819,New South Wales,109,Australia,15,Australia,4,4,Australia & Oceania
459,4,16,115,5506.0,4161155506.0,5506,Christchurch,115,New Zealand,16,Oceania,4,4,Australia & Oceania
464,3,12,86,2563.0,312862563.0,2563,Al-Rayyan,86,Qatar,12,Middle East,3,3,Asia
470,3,12,88,2590.0,312882590.0,2590,Alanya,88,Turkey,12,Middle East,3,3,Asia
476,3,12,89,2623.0,312892623.0,2623,Dubai,89,United Arab Emirates,12,Middle East,3,3,Asia
478,5,19,144,6621.0,5191446621.0,6621,Son,144,Norway,19,Northern Europe,5,5,Europe
480,2,8,51,2097.0,28512097.0,2097,Westport,51,United States,8,Northern America,2,2,America
484,5,21,163,8367.0,5211638367.0,8367,Harrogate,163,United Kingdom,21,Western Europe,5,5,Europe
485,4,15,109,4442.0,4151094442.0,4442,Joondalup,109,Australia,15,Australia,4,4,Australia & Oceania
488,5,20,150,6759.0,5201506759.0,6759,Greece,150,Greece,20,Southern Europe,5,5,Europe
490,3,14,101,3098.0,3141013098.0,3098,Jakarta,101,Indonesia,14,South East Asia,3,3,Asia
494,4,15,109,5042.0,4151095042.0,5042,Rochedale South,109,Australia,15,Australia,4,4,Australia & Oceania
501,4,15,109,4940.0,4151094940.0,4940,Perth,109,Australia,15,Australia,4,4,Australia & Oceania
503,4,16,115,5506.0,4161155506.0,5506,Christchurch,115,New Zealand,16,Oceania,4,4,Australia & Oceania
511,2,8,51,929.0,2851929.0,929,Dallas,51,United States,8,Northern America,2,2,America
512,4,15,109,3915.0,4151093915.0,3915,Brisbane,109,Australia,15,Australia,4,4,Australia & Oceania
515,3,14,103,3367.0,3141033367.0,3367,Malaysia,103,Malaysia,14,South East Asia,3,3,Asia
516,4,15,109,3687.0,4151093687.0,3687,Adelaide,109,Australia,15,Australia,4,4,Australia & Oceania
517,3,14,101,3098.0,3141013098.0,3098,Jakarta,101,Indonesia,14,South East Asia,3,3,Asia
518,3,13,91,2649.0,313912649.0,2649,Dhaka Division,91,Bangladesh,13,South Asia,3,3,Asia
521,4,15,109,3687.0,4151093687.0,3687,Adelaide,109,Australia,15,Australia,4,4,Australia & Oceania
528,4,15,109,3687.0,4151093687.0,3687,Adelaide,109,Australia,15,Australia,4,4,Australia & Oceania
542,5,17,125,5911.0,5171255911.0,5911,Kaufbeuren,125,Germany,17,Central Europe,5,5,Europe
545,4,16,115,5487.0,4161155487.0,5487,Auckland,115,New Zealand,16,Oceania,4,4,Australia & Oceania
550,5,19,144,6609.0,5191446609.0,6609,Oslo,144,Norway,19,Northern Europe,5,5,Europe
554,5,19,142,6520.0,5191426520.0,6520,Kokkola,142,Finland,19,Northern Europe,5,5,Europe
